,chA,chB,pA,pB,d,score
341,ADC,ADC,0.30000000000000004,0.2,fidelity,0.8531347913822769
342,ADC,ADC,0.30000000000000004,0.2,affinity,0.9212094851007345
343,ADC,ADC,0.30000000000000004,0.2,wooters_distance,0.39133052517357503
344,ADC,ADC,0.30000000000000004,0.1,trace_distance,0.13251083580829962
345,ADC,ADC,0.30000000000000004,0.1,fidelity,0.875711203791392
346,ADC,ADC,0.30000000000000004,0.1,affinity,0.9349019948075377
347,ADC,ADC,0.30000000000000004,0.1,wooters_distance,0.35621613048738504
348,ADC,ADC,0.30000000000000004,0.0,trace_distance,0.11143241708826412
349,ADC,ADC,0.30000000000000004,0.0,fidelity,0.8917464886241578
350,ADC,ADC,0.30000000000000004,0.0,affinity,0.9434291938150839
351,ADC,ADC,0.30000000000000004,0.0,wooters_distance,0.30771243919558106
352,ADC,ADC,0.2,1.0,trace_distance,0.6050359395173693
353,ADC,ADC,0.2,1.0,fidelity,0.5354908848665837
354,ADC,ADC,0.2,1.0,affinity,0.5354908848665835
355,ADC,ADC,0.2,1.0,wooters_distance,0.729878549015901
356,ADC,ADC,0.2,0.9,trace_distance,0.5059676404351133
357,ADC,ADC,0.2,0.9,fidelity,0.6386324308142787
358,ADC,ADC,0.2,0.9,affinity,0.7083741396455213
359,ADC,ADC,0.2,0.9,wooters_distance,0.6192268340114632
360,ADC,ADC,0.2,0.8,trace_distance,0.44296599236540796
361,ADC,ADC,0.2,0.8,fidelity,0.6929055261531437
362,ADC,ADC,0.2,0.8,affinity,0.7714767427058199
363,ADC,ADC,0.2,0.8,wooters_distance,0.5625141436830479
364,ADC,ADC,0.2,0.7000000000000001,trace_distance,0.3934399073142736
365,ADC,ADC,0.2,0.7000000000000001,fidelity,0.7267692788577813
366,ADC,ADC,0.2,0.7000000000000001,affinity,0.8107131604105032
367,ADC,ADC,0.2,0.7000000000000001,wooters_distance,0.5297688691358781
368,ADC,ADC,0.2,0.6000000000000001,trace_distance,0.3392213775653761
369,ADC,ADC,0.2,0.6000000000000001,fidelity,0.7622506439622528
370,ADC,ADC,0.2,0.6000000000000001,affinity,0.8455509024264559
371,ADC,ADC,0.2,0.6000000000000001,wooters_distance,0.492227775820318
372,ADC,ADC,0.2,0.5,trace_distance,0.2916542419122352
373,ADC,ADC,0.2,0.5,fidelity,0.7929320943984067
374,ADC,ADC,0.2,0.5,affinity,0.8725923739981889
375,ADC,ADC,0.2,0.5,wooters_distance,0.46041077366358824
376,ADC,ADC,0.2,0.4,trace_distance,0.24265251027269627
377,ADC,ADC,0.2,0.4,fidelity,0.8233139823179908
378,ADC,ADC,0.2,0.4,affinity,0.8966147463129488
379,ADC,ADC,0.2,0.4,wooters_distance,0.42552986955592426
380,ADC,ADC,0.2,0.30000000000000004,trace_distance,0.19697535467718216
381,ADC,ADC,0.2,0.30000000000000004,fidelity,0.8503887935874079
382,ADC,ADC,0.2,0.30000000000000004,affinity,0.9163482448841419
383,ADC,ADC,0.2,0.30000000000000004,wooters_distance,0.3923733763630495
384,ADC,ADC,0.2,0.2,trace_distance,0.14745426744422666
385,ADC,ADC,0.2,0.2,fidelity,0.8797764349372881
386,ADC,ADC,0.2,0.2,affinity,0.935558985961654
387,ADC,ADC,0.2,0.2,wooters_distance,0.3511856822411054
388,ADC,ADC,0.2,0.1,trace_distance,0.10374132001251879
389,ADC,ADC,0.2,0.1,fidelity,0.9067512322110239
390,ADC,ADC,0.2,0.1,affinity,0.9515010490854426
